trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
297,False,"{'a': 0.8, 'e': 1.1336711673412011e-05}",25,20,10.650143548932022,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.8, 'e': 1.1260754020089185e-05}",25,16,15.255415543258998,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.8, 'e': 1.1185557208532343e-05}",20,2,25.462391310191894,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.8, 'e': 1.1111111111111112e-05}",20,16,7.933938223098476,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.8, 'e': 1.1037405768148255e-05}",30,17,21.303751566406532,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.8, 'e': 1.0964431384588396e-05}",25,14,20.579022062122473,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.8, 'e': 1.0892178326743566e-05}",30,18,25.305714164935413,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.8, 'e': 1.0820637119113573e-05}",35,17,26.67259538785993,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.8, 'e': 1.0749798441279227e-05}",20,15,9.522439688790799,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.8, 'e': 1.0679653124866504e-05}",25,13,26.23685904891219,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.8, 'e': 1.0610192150579848e-05}",20,13,14.932057216575213,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.8, 'e': 1.0541406645302749e-05}",25,14,19.790799666344927,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.8, 'e': 1.0473287879263938e-05}",20,13,11.654934933308722,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.8, 'e': 1.040582726326743e-05}",20,15,11.633321658768544,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
